game 2
ply 26|2002020000000000100000000100110000001002000202110220010|5 3 0 0|3 1 0 0|1 3 0 0|2|0||3 5 7 8 9 11 12 13 14 15 16 18 19 20 21 22 23 24 25 27 28 31 33 34 35 36 38 41 42 43 45 49 53 55
ply 23|2002020000000000100000200100110000001002000202110220010|5 2 0 0|3 1 0 0|1 3 0 0|1|0||2 3 5 7 8 9 11 12 13 14 15 16 18 19 20 21 22 24 25 27 28 31 32 33 34 35 36 38 39 41 42 43 45 49 52 185
ply 185|2002020000000000100000200000000000000002000002110020000|10 2 0 0|5 1 0 0|1 5 0 0|2|0||3 5 7 8 9 11 12 13 14 15 16 18 19 20 21 22 24 25 26 27 28 29 30 31 33 34 35 36 37 38 41 42 43 44 45 49 50 53 54 55
ply 24|2002020000000000100000220000000000000002000002110020000|10 1 0 0|5 1 0 0|1 5 0 0|1|0||2 3 5 7 8 9 11 12 13 14 15 16 18 19 20 21 22 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 41 42 43 44 45 49 50 52 53 54 55
ply 2|2102020000000000100000220000000000000002000002110020000|9 1 0 0|5 1 0 0|1 5 0 0|2|0||3 5 7 8 9 11 12 13 14 15 18 19 20 21 22 25 26 27 28 29 30 31 33 34 35 36 37 38 41 42 43 44 45 49 50 53 54 55
ply 9|2102020020000000100000220000000000000002000002110020000|9 0 0 0|5 1 0 0|1 5 0 0|0|1||
game 2
ply 0|0000000000000000000000000000000000000000000000000000000|14 14 0 0|0 0 0 0|0 0 0 0|1|0||1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55
ply 1|1000000000000000000000000000000000000000000000000000000|13 14 0 0|0 0 0 0|0 0 0 0|2|0||2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55
ply 38|1000000000000000000000000000000000000200000000000000000|13 13 0 0|0 0 0 0|0 0 0 0|1|0||3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55
ply 30|1000000000000000000000000000010000000200000000000000000|12 13 0 0|0 0 0 0|0 0 0 0|2|0||2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 31 32 33 34 35 36 37 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55
ply 36|1000000000000000000000000000010000020200000000000000000|12 12 0 0|0 0 0 0|0 0 0 0|1|0||3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 31 32 33 34 35 37 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55
ply 15|1000000000000010000000000000010000020200000000000000000|11 12 0 0|0 0 0 0|0 0 0 0|2|0||2 3 4 5 6 7 8 9 10 11 12 13 14 16 17 18 19 20 21 22 23 24 25 26 27 28 29 31 32 33 34 35 37 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55
ply 34|1000000000000010000000000000010002020200000000000000000|11 11 0 0|0 0 0 0|0 0 0 0|1|0||3 4 5 6 7 8 9 10 11 12 13 14 16 17 18 19 20 21 22 23 24 25 26 27 28 29 31 32 33 35 37 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55
ply 44|1000000000000010000000000000010002020200000100000000000|10 11 0 0|0 0 0 0|0 0 0 0|2|0||2 3 4 5 6 7 8 9 10 11 12 13 14 16 17 18 19 20 21 22 23 24 25 26 27 28 29 31 32 33 35 37 39 40 41 42 43 45 46 47 48 49 50 51 52 53 54 55
